samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,4,2,2,3,1000,0,0,0,SVC,-0.03324759963278647,-0.018972248147612968,0.00925343978104803,-0.00016912125618340212,1.0
10,4,2,2,3,1000,0,0,1,SVC,-1.7096132444119019,-1.6905723427039647,0.011010591080455823,-1.6686054036355642,1.0
10,4,2,2,3,1000,1,1,0,SVC,-2.4129365683405855,-2.398363876558895,0.008893504442289955,-2.3801669093892905,1.0
10,4,2,2,3,1000,1,1,1,SVC,-0.03951303852639884,-0.024698467186426525,0.009696296990746974,-0.0026936411419833384,1.0
10,4,2,2,3,1000,2,1,0,SVC,-0.5048873469353053,-0.482156081999881,0.010722664490431369,-0.4674433410216988,1.0
10,4,2,2,3,1000,2,1,1,SVC,-0.03283652887522348,-0.019156599641401276,0.009216828176510537,-0.0011982949325544112,1.0
10,4,2,2,3,1000,3,1,0,SVC,-2.8931171696469598,-2.889986364316749,0.0015293767147709304,-2.88769734733526,1.0
10,4,2,2,3,1000,3,1,1,SVC,-0.04150664606644735,-0.02312490651243317,0.011570524201876068,-0.0018844115884322221,1.0
10,4,2,2,3,1000,4,0,0,SVC,-0.03480741853281527,-0.01928242126543042,0.00847837394716034,-0.004123479026584775,1.0
10,4,2,2,3,1000,4,0,1,SVC,-1.1166772380924075,-1.106184201695759,0.008651715365626074,-1.06302386577784,1.0
10,4,2,2,3,1000,5,1,0,SVC,-2.2368939795907328,-2.228158221208372,0.004179873866282302,-2.219615288632204,1.0
10,4,2,2,3,1000,5,1,1,SVC,-0.03880311551374761,-0.02001718092006231,0.011009740324878744,-0.0007036600895311551,1.0
10,4,2,2,3,1000,6,1,0,SVC,-0.3764331148780861,-0.3689475068624126,0.003612776676490953,-0.3625098569172256,1.0
10,4,2,2,3,1000,6,1,1,SVC,-0.04038880583498486,-0.020690178835234243,0.01249538023343617,-0.00017109449917473984,1.0
10,4,2,2,3,1000,7,1,0,SVC,-1.9144034377771018,-1.8974586034426653,0.013458441228956869,-1.869920138212172,1.0
10,4,2,2,3,1000,7,1,1,SVC,-0.04298186472261747,-0.024764033597251257,0.01047270392856336,-0.002354752653732639,1.0
10,4,2,2,3,1000,8,0,0,SVC,-0.03854244125450456,-0.020453843436333597,0.011249018932720522,-0.000926543055428386,1.0
10,4,2,2,3,1000,8,0,1,SVC,-1.7892725693146623,-1.7832750620698747,0.003377753400953828,-1.770296258244806,1.0
10,4,2,2,3,1000,9,0,0,SVC,-0.0481146971364077,-0.024787300061285888,0.012183191432617644,-0.004451207380927968,1.0
10,4,2,2,3,1000,9,0,1,SVC,-1.7328288121555375,-1.7272545458072528,0.0046977888616063735,-1.6956330539820972,1.0
10,4,2,1,0,1000,0,1,0,SVC,-2.200298219894891,-2.1817892726434804,0.010543041893692364,-2.1625291598312897,1.0
10,4,2,1,0,1000,0,1,1,SVC,-0.040205699282168446,-0.02112037430434877,0.012273506169089926,-0.000833277468292426,1.0
10,4,2,1,0,1000,1,1,0,SVC,-1.6035870546918807,-1.5854470300467596,0.01293367033241344,-1.5604358409317534,1.0
10,4,2,1,0,1000,1,1,1,SVC,-0.027844167472558627,-0.014266622947550833,0.007697426588495455,-0.00039767415590707955,1.0
10,4,2,1,0,1000,2,0,0,SVC,-0.04255506281046556,-0.022129059580677318,0.011592708163790938,-0.0007449288601673043,1.0
10,4,2,1,0,1000,2,0,1,SVC,-2.090596152839506,-2.072371389706943,0.014305650110357353,-2.025560195515166,1.0
10,4,2,1,0,1000,3,1,0,SVC,-1.3275750385705338,-1.3040841758267165,0.017644129412342384,-1.2520538394320884,1.0
10,4,2,1,0,1000,3,1,1,SVC,-0.03708367468585318,-0.019202565929802896,0.010038048433171673,-0.0008731546101451437,1.0
10,4,2,1,0,1000,4,1,0,SVC,-2.158010340442981,-2.1292138897469486,0.016525492399284136,-2.0844063043598053,1.0
10,4,2,1,0,1000,4,1,1,SVC,-0.03792906418949449,-0.02072200253156515,0.011272904223910335,-0.00016965290342141337,1.0
10,4,2,1,0,1000,5,1,0,SVC,-1.2314340064002072,-1.2143558872103664,0.009501411233459262,-1.1981705514325758,1.0
10,4,2,1,0,1000,5,1,1,SVC,-0.026671556576550855,-0.013916338018721185,0.006755082851881806,-0.0019762607719016057,1.0
10,4,2,1,0,1000,6,1,0,SVC,-2.2381120506042946,-2.225176108209711,0.00824593369488616,-2.2098410923534537,1.0
10,4,2,1,0,1000,6,1,1,SVC,-0.041528141960083365,-0.020827415036878044,0.011187316107604277,-0.0021110678261874183,1.0
10,4,2,1,0,1000,7,0,0,SVC,-0.03946060479719704,-0.01882504505750145,0.011208651121617202,-0.0014429451223976208,1.0
10,4,2,1,0,1000,7,0,1,SVC,-3.404772997284427,-3.3891905419338015,0.009395126436037845,-3.3728363444939737,1.0
10,4,2,1,0,1000,8,1,0,SVC,-2.270278379870533,-2.255031186518254,0.01133236204887814,-2.231910785885951,1.0
10,4,2,1,0,1000,8,1,1,SVC,-0.042355155920325634,-0.02151751394508174,0.01150750384427821,-0.001972447765161256,1.0
10,4,2,1,0,1000,9,1,0,SVC,-2.1888512968172957,-2.1732953723541524,0.009340047079934004,-2.1554985235959636,1.0
10,4,2,1,0,1000,9,1,1,SVC,-0.04264327168397014,-0.022928047063343206,0.011297547479163167,-0.0017375112959032712,1.0
10,16,2,2,0,1000,0,1,0,SVC,-2.6084341355495115,-2.508031125697444,0.07250917572081311,-2.338547062913574,1.0
10,16,2,2,0,1000,0,1,1,SVC,-0.504712565019934,-0.2861049243249463,0.1250205946856493,-0.01311832590687434,1.0
10,16,2,2,0,1000,1,1,0,SVC,-0.732364154984253,-0.4914119905618383,0.1734417953650757,-0.15233769600682834,1.0
10,16,2,2,0,1000,1,1,1,SVC,-0.8899389652925547,-0.4591319382234589,0.2789662407467332,-0.00919383205402502,1.0
10,16,2,2,0,1000,2,0,0,SVC,-0.5162877508511137,-0.2998073519405065,0.13413726045425445,-0.028596485888186862,1.0
10,16,2,2,0,1000,2,0,1,SVC,-3.0141843801564714,-2.7232609976908098,0.22895586667620388,-2.30174176040967,1.0
10,16,2,2,0,1000,3,0,0,SVC,-0.42680818178651725,-0.21512135288442974,0.12990016728237452,-0.0022421673450276902,1.0
10,16,2,2,0,1000,3,0,1,SVC,-1.8630465280924775,-1.7767647959067394,0.06696922800030915,-1.6202301283911527,1.0
10,16,2,2,0,1000,4,1,0,SVC,-5.722878872707243,-5.4558576899478375,0.19103333425636146,-5.01535502899436,1.0
10,16,2,2,0,1000,4,1,1,SVC,-0.4977563294227418,-0.3100074204770465,0.11970921505053057,-0.04731863841610863,1.0
10,16,2,2,0,1000,5,0,0,SVC,-0.42519330903148445,-0.23570823439843122,0.11525493333260484,-0.015934473145828854,1.0
10,16,2,2,0,1000,5,0,1,SVC,-3.3054513911358634,-3.1745778888592677,0.08690513686492762,-2.8531678473034185,1.0
10,16,2,2,0,1000,6,1,0,SVC,-4.874535337693806,-4.635004045198887,0.2063974684439474,-4.123863222398009,1.0
