samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,4,2,1,0,1000,0,1,0,RandomForestClassifier,-2.435582455227927,-1.6617416366751223,0.7297053745085138,-0.3257478465010828,1.0
10,4,2,1,0,1000,0,1,1,RandomForestClassifier,-0.5292498860999411,-0.29852536451779466,0.14327948632558546,-0.00039624306789987074,1.0
10,4,2,1,0,1000,1,1,0,RandomForestClassifier,-1.7554098069865536,-1.5929065942382175,0.09532730416596072,-1.40351243267898,1.0
10,4,2,1,0,1000,1,1,1,RandomForestClassifier,-0.5666832151092002,-0.318187836720158,0.1579920856504341,-0.0012703295988190089,1.0
10,4,2,1,0,1000,2,0,0,RandomForestClassifier,-0.9250294498738144,-0.5100271423088963,0.2683907822864296,-0.0010070482966482164,1.0
10,4,2,1,0,1000,2,0,1,RandomForestClassifier,-1.7420104821551596,-1.3729054468249824,0.24029910027220283,-0.8306361228498603,1.0
10,4,2,1,0,1000,3,1,0,RandomForestClassifier,-2.234948587122919,-1.8504248551717335,0.23317624115855184,-1.4704492728924325,1.0
10,4,2,1,0,1000,3,1,1,RandomForestClassifier,-0.790046441964966,-0.417017516635209,0.21928852154215023,-0.00712069219555167,1.0
10,4,2,1,0,1000,4,1,0,RandomForestClassifier,-2.404392340018552,-2.212976545496595,0.11698843443793598,-1.9316728083053307,1.0
10,4,2,1,0,1000,4,1,1,RandomForestClassifier,-0.67589553538721,-0.38579501122908944,0.18476837003568736,-0.001763241203290855,1.0
10,4,2,1,0,1000,5,1,0,RandomForestClassifier,-2.1412028639363623,-1.7767329829617022,0.21222526085376525,-1.3790560926517828,1.0
10,4,2,1,0,1000,5,1,1,RandomForestClassifier,-0.8138956551454178,-0.42107471018457615,0.23799781278344562,-0.0015208501214997172,1.0
10,4,2,1,0,1000,6,1,0,RandomForestClassifier,-2.4550791257616673,-1.5225509604577332,0.6953405672596822,-0.19752943585852456,1.0
10,4,2,1,0,1000,6,1,1,RandomForestClassifier,-0.5834039055116534,-0.30662639869780794,0.16862588069104065,-0.0008640209557735368,1.0
10,4,2,1,0,1000,7,0,0,RandomForestClassifier,-1.3220260638460555,-0.7657695843768196,0.36823145053318934,-0.017305579370484964,1.0
10,4,2,1,0,1000,7,0,1,RandomForestClassifier,-1.8894765183000517,-1.7790672943702592,0.05915747809475463,-1.6648224142435433,1.0
10,4,2,1,0,1000,8,1,0,RandomForestClassifier,-3.266102676258918,-2.6381432203193804,0.48539153336039836,-1.3467710856768813,1.0
10,4,2,1,0,1000,8,1,1,RandomForestClassifier,-0.9627579187935917,-0.5347081689094103,0.25185651554889066,-0.001441040021522344,1.0
10,4,2,1,0,1000,9,1,0,RandomForestClassifier,-2.684041558578008,-2.4740052385522087,0.15979288466485156,-1.9897710989610793,1.0
10,4,2,1,0,1000,9,1,1,RandomForestClassifier,-0.6087679615724998,-0.3342410802250463,0.17311577942422704,-0.003745797726158906,1.0
10,32,2,1,1,1000,0,0,0,RandomForestClassifier,-6.188205411781758,-3.268092536149219,1.6118136106499938,-0.028363295741203887,1.0
10,32,2,1,1,1000,0,0,1,RandomForestClassifier,-12.44352438610412,-10.535611786584232,0.9927627453459499,-8.305051653508833,1.0
10,32,2,1,1,1000,1,0,0,RandomForestClassifier,-7.18725716888645,-4.097595170765464,1.7922701846775644,-0.009354789460497503,1.0
10,32,2,1,1,1000,1,0,1,RandomForestClassifier,-11.54133407080314,-9.634727595131384,1.2171631695826017,-7.188737141256821,1.0
10,32,2,1,1,1000,2,1,0,RandomForestClassifier,-9.78030989235792,-6.081448844106968,2.191670120495724,-1.3739618435299354,1.0
10,32,2,1,1,1000,2,1,1,RandomForestClassifier,-6.467054236229165,-3.307569307878259,1.7881687569371914,-0.005793142818406594,1.0
10,32,2,1,1,1000,3,1,0,RandomForestClassifier,-10.297624199986663,-8.140757288555378,1.3259220831720737,-4.784090856086566,1.0
10,32,2,1,1,1000,3,1,1,RandomForestClassifier,-7.159811317012205,-3.7277623959180572,2.0253927004842835,-0.03599192834526166,1.0
10,32,2,1,1,1000,4,1,0,RandomForestClassifier,-9.776631715429584,-6.637095512307722,1.9469112351129176,-2.495655489476185,1.0
10,32,2,1,1,1000,4,1,1,RandomForestClassifier,-8.718123179066572,-4.343670543691467,2.3865705895162264,-0.015348012518788146,1.0
10,32,2,1,1,1000,5,0,0,RandomForestClassifier,-9.259947282382479,-5.173788547247948,2.4512534162912525,-0.022776737448504836,1.0
