samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,4,2,2,3,1000,0,0,0,SVC,-0.8767455173029042,-0.49014057414906087,0.2442729812611005,-0.0017140495505207909,1.0
10,4,2,2,3,1000,0,0,1,SVC,-2.8364591120124185,-2.4736076056308334,0.25580978853456043,-1.724200668929083,1.0
10,4,2,2,3,1000,1,1,0,SVC,-2.8025855300727707,-2.6199919457430787,0.10774958844429897,-2.414006119302645,1.0
10,4,2,2,3,1000,1,1,1,SVC,-0.6705318741661381,-0.370139716867296,0.1805078000515607,-0.0026771207940767816,1.0
10,4,2,2,3,1000,2,1,0,SVC,-2.5919043987559345,-1.8620188336996564,0.5550146068191871,-0.5020670729887153,1.0
10,4,2,2,3,1000,2,1,1,SVC,-1.9171953886178497,-1.128819626328394,0.5430574122119599,-0.01345511596931015,1.0
10,4,2,2,3,1000,3,1,0,SVC,-3.4391675634830072,-3.179101209829088,0.1528644755567408,-2.8790075376507325,1.0
10,4,2,2,3,1000,3,1,1,SVC,-0.6195506627684481,-0.3229328250146618,0.16964567975012732,-0.003669358573819892,1.0
10,4,2,2,3,1000,4,0,0,SVC,-0.4712227063763074,-0.25669253709606676,0.126098617399104,-0.0013715802034919289,1.0
10,4,2,2,3,1000,4,0,1,SVC,-1.49765693212352,-1.3007370862202912,0.11441004227395736,-1.0626076592191773,1.0
10,4,2,2,3,1000,5,1,0,SVC,-3.2876396320525845,-2.8339166308563817,0.3210370130563076,-2.219599247370124,1.0
10,4,2,2,3,1000,5,1,1,SVC,-1.2057290018887585,-0.6719817896459299,0.3369587573364697,-0.0003148613494332597,1.0
10,4,2,2,3,1000,6,1,0,SVC,-1.0377177872261525,-0.7266094739825899,0.19818096586066017,-0.3494243999354813,1.0
10,4,2,2,3,1000,6,1,1,SVC,-0.5084891803285115,-0.2767826272725291,0.13835779351927188,-0.00029407564115513374,1.0
10,4,2,2,3,1000,7,1,0,SVC,-2.3091711836044064,-2.1285111715016547,0.11804078322332516,-1.8980414577993063,1.0
10,4,2,2,3,1000,7,1,1,SVC,-0.46988735791027647,-0.24246715504763441,0.13868212631690024,-0.0021250606565150765,1.0
10,4,2,2,3,1000,8,0,0,SVC,-0.6537293351001472,-0.340908125381718,0.1800760838854541,-0.0006263427282147127,1.0
10,4,2,2,3,1000,8,0,1,SVC,-2.250033410573457,-2.0608915454263808,0.1162282405192014,-1.7542319194899418,1.0
10,4,2,2,3,1000,9,0,0,SVC,-0.6448153670919613,-0.34475615844278407,0.1746116753482023,-0.0024950932097844714,1.0
10,4,2,2,3,1000,9,0,1,SVC,-2.0367917972334575,-1.8834615756271373,0.09308189351371372,-1.7007958877393108,1.0
10,4,2,1,0,1000,0,1,0,SVC,-2.321171021367168,-2.2297843284739756,0.05114245332609318,-2.1409728378980235,1.0
10,4,2,1,0,1000,0,1,1,SVC,-0.5169303994221583,-0.2654275923732714,0.14903209512606552,-0.0005365525917949698,1.0
10,4,2,1,0,1000,1,1,0,SVC,-1.8830261381142583,-1.735009772584228,0.08186887699258985,-1.5563381946526171,1.0
10,4,2,1,0,1000,1,1,1,SVC,-0.5399284437398364,-0.2830248123218687,0.15339057123109395,-0.0012703295988190089,1.0
10,4,2,1,0,1000,2,0,0,SVC,-0.8554425323098567,-0.44229023466335904,0.24210887368894282,-0.004975007631051964,1.0
10,4,2,1,0,1000,2,0,1,SVC,-2.1482796534693787,-2.10376501331444,0.030854015177383065,-2.022315909502624,1.0
10,4,2,1,0,1000,3,1,0,SVC,-1.9325523943981808,-1.633472294799553,0.18124452919708572,-1.251585569548275,1.0
10,4,2,1,0,1000,3,1,1,SVC,-0.7044417071290374,-0.3757001182909325,0.19655307456165266,-0.0040224947533243904,1.0
10,4,2,1,0,1000,4,1,0,SVC,-2.661414411982466,-2.4157554739090545,0.1589696611540735,-2.071363820319517,1.0
10,4,2,1,0,1000,4,1,1,SVC,-0.6192444927034106,-0.32858653570502966,0.17030229087065413,-0.001763241203290855,1.0
10,4,2,1,0,1000,5,1,0,SVC,-2.1397021709244477,-1.7588470500558389,0.25078535388958156,-1.2048240058581912,1.0
10,4,2,1,0,1000,5,1,1,SVC,-0.8092086525232978,-0.42453537636613403,0.22067672334919403,-0.0015208501214997172,1.0
10,4,2,1,0,1000,6,1,0,SVC,-2.3921189375773086,-2.321274185826994,0.04988236611635772,-2.2151489317961004,1.0
10,4,2,1,0,1000,6,1,1,SVC,-0.5079132029466734,-0.2611715385759158,0.13729508040284785,-0.0004584582408907467,1.0
10,4,2,1,0,1000,7,0,0,SVC,-1.1982074349027163,-0.6958629831899494,0.32744129969649666,-0.0035749131512996246,1.0
10,4,2,1,0,1000,7,0,1,SVC,-3.4715560288656526,-3.4220923171506974,0.030226496700561913,-3.354216235708911,1.0
10,4,2,1,0,1000,8,1,0,SVC,-3.091021208402285,-2.7700559682778847,0.19516741827535597,-2.391369138330268,1.0
10,4,2,1,0,1000,8,1,1,SVC,-0.9488792125346022,-0.5119398364073968,0.2591644028824934,-0.009976798025472355,1.0
10,4,2,1,0,1000,9,1,0,SVC,-2.292082296388699,-2.232359948332933,0.03802056142985277,-2.148235726856836,1.0
10,4,2,1,0,1000,9,1,1,SVC,-0.5719091732179474,-0.30893803572196976,0.1639973060254376,-0.002560488377863379,1.0
10,16,2,2,0,1000,0,1,0,SVC,-4.646859290150407,-3.8477047506173987,0.5234504235810947,-2.660515609491855,1.0
10,16,2,2,0,1000,0,1,1,SVC,-3.009014190571386,-1.6107991449366954,0.8280068345065413,-0.010986345688597528,1.0
10,16,2,2,0,1000,1,1,0,SVC,-3.5335548598302755,-2.1581101584376703,0.7852571991990517,-0.42981832713532664,1.0
10,16,2,2,0,1000,1,1,1,SVC,-3.587713481853096,-1.989851570825037,1.0090230060052314,-0.013754772143887761,1.0
10,16,2,2,0,1000,2,0,0,SVC,-3.002250711467398,-1.5140967077123986,0.843743046597817,-0.039915396032648154,1.0
10,16,2,2,0,1000,2,0,1,SVC,-3.9896741668563083,-3.0919933792913934,0.5423191071581341,-1.940850373820004,1.0
10,16,2,2,0,1000,3,0,0,SVC,-2.8109227412754367,-1.4662094143356412,0.799321611023744,-0.006734518180905301,1.0
10,16,2,2,0,1000,3,0,1,SVC,-3.2897731631629137,-2.681960957455565,0.39664008378616916,-1.7574550468510242,1.0
10,16,2,2,0,1000,4,1,0,SVC,-5.444347736785229,-5.211890247112961,0.16002669035945363,-4.7594790856420595,1.0
10,16,2,2,0,1000,4,1,1,SVC,-3.6183008335101223,-1.8824670736187847,1.0278837527898654,-0.010084221335416643,1.0
10,16,2,2,0,1000,5,0,0,SVC,-3.2919853866659037,-1.6589648372638437,0.891115259597852,-0.012693628570964455,1.0
10,16,2,2,0,1000,5,0,1,SVC,-4.269592922804471,-3.681239395177818,0.33173831692629524,-2.9471953179037635,1.0
10,16,2,2,0,1000,6,1,0,SVC,-4.987213667676369,-4.6127620440331665,0.19175502910680484,-4.145924713967806,1.0
10,16,2,2,0,1000,6,1,1,SVC,-3.680852151651009,-1.9089185712900076,1.0670840914218298,-0.04460543396405381,1.0
10,16,2,2,0,1000,7,0,0,SVC,-2.774483522491487,-1.355489345679474,0.7749932705518182,-0.011770746939240961,1.0
10,16,2,2,0,1000,7,0,1,SVC,-4.580197982717027,-3.355688210085078,0.8062209847429461,-1.6613557287233867,1.0
10,16,2,2,0,1000,8,0,0,SVC,-5.093080626912791,-2.8580790057373786,1.2777755661840495,-0.06183694201879686,1.0
10,16,2,2,0,1000,8,0,1,SVC,-4.276302132759345,-2.2378514834683565,1.1202171561634795,-0.10215839260315074,1.0
10,16,2,2,0,1000,9,1,0,SVC,-4.888494293400323,-4.13966428650089,0.46087421884933133,-3.220595187857964,1.0
10,16,2,2,0,1000,9,1,1,SVC,-2.5376927777780574,-1.2294833534809408,0.6606123605565649,-0.005239338362390877,1.0
10,4,2,2,0,1000,0,0,0,SVC,-0.4945776506122445,-0.2736739397278948,0.13864462344529369,-0.001034571392385386,1.0
10,4,2,2,0,1000,0,0,1,SVC,-1.3097904115803272,-1.1045730398045688,0.12420035556864151,-0.8648579810418178,1.0
10,4,2,2,0,1000,1,1,0,SVC,-1.6193113755790753,-1.402201417450629,0.13237135065469863,-1.1380333863993324,1.0
10,4,2,2,0,1000,1,1,1,SVC,-0.6688441215993155,-0.37152356823298227,0.19551891110430125,-0.005556412603101801,1.0
10,4,2,2,0,1000,2,1,0,SVC,-1.0713221271562337,-0.7796473702527953,0.17755177097355565,-0.4115215083515963,1.0
10,4,2,2,0,1000,2,1,1,SVC,-0.7696847041219483,-0.38766955796638725,0.2173664620281045,-0.001056396557497008,1.0
10,4,2,2,0,1000,3,1,0,SVC,-2.2768459830994625,-2.0717641883219553,0.12099994587984667,-1.8325380613797901,1.0
10,4,2,2,0,1000,3,1,1,SVC,-0.8211750080172906,-0.4379660915519567,0.23228360694388175,-0.00180422881894593,1.0
10,4,2,2,0,1000,4,1,0,SVC,-1.549487671997171,-1.3044903230655036,0.15276617408560306,-0.9317324137082724,1.0
10,4,2,2,0,1000,4,1,1,SVC,-0.6878719200227121,-0.3793199669784282,0.18492724082570663,-0.005310323873937817,1.0
10,4,2,2,0,1000,5,1,0,SVC,-2.9702534717891074,-2.701512743966441,0.18896653202715363,-2.258510444622851,1.0
10,4,2,2,0,1000,5,1,1,SVC,-1.1939332403655778,-0.678888506404291,0.3357833213846928,-0.029312182072364815,1.0
10,4,2,2,0,1000,6,0,0,SVC,-0.5324724873527096,-0.3011821154609123,0.14982136000871676,-0.0017032738534357716,1.0
10,4,2,2,0,1000,6,0,1,SVC,-1.232130991771382,-0.9961759060819073,0.1535659153604537,-0.6730412424659845,1.0
10,4,2,2,0,1000,7,0,0,SVC,-0.4876312663767026,-0.27212294201260695,0.1392388579411232,-0.004384342644395217,1.0
10,4,2,2,0,1000,7,0,1,SVC,-1.361461528471654,-1.1870816784152545,0.11420075485858362,-0.9270762833023237,1.0
10,4,2,2,0,1000,8,0,0,SVC,-0.8874191261212286,-0.4806156985135615,0.24593875094779732,-0.023701033743137145,1.0
10,4,2,2,0,1000,8,0,1,SVC,-1.932892889929757,-1.5794481605932142,0.21799712863367296,-1.1280995108057286,1.0
10,4,2,2,0,1000,9,0,0,SVC,-0.7352825424701214,-0.38468216508134145,0.21158614539251797,-0.010775219628057886,1.0
10,4,2,2,0,1000,9,0,1,SVC,-1.0687380550102938,-0.7013758360873292,0.23199354796863522,-0.22930944147483007,1.0
10,32,2,1,1,1000,0,0,0,SVC,-6.261533620166521,-3.129689959099288,1.6552077854601932,-0.005972699551924254,1.0
